vertical,city,name,phone,whatsapp,address,maps_link,source
perruqueries,Barcelona,BETH'S Sant Pere / El Born,+34 658 542 328,+34 658 542 328,"C/ Sant Pere Més Baix 44, 08003 Barcelona",https://www.google.com/maps/search/?api=1&query=BETH%27S%20Sant%20Pere%20M%C3%A9s%20Baix%2044%20Barcelona,https://www.bethshair.es/centros/tienda-sant-pere-mes-baix-el-born/
perruqueries,Barcelona,Ekares Estilistes,+34 93 208 25 79,+34 697 358 697,"C/ Bailèn 134, 08009 Barcelona",https://www.google.com/maps/search/?api=1&query=Ekares%20Estilistes%20Bail%C3%A8n%20134%20Barcelona,https://ekarestilistes.com/peluqueria-hombre-barcelona/
perruqueries,Barcelona,Mechas by McB (València 183),+34 93 010 23 52,+34 679 06 02 92,"C/ València 183 baixos local 1, 08011 Barcelona",https://www.google.com/maps/search/?api=1&query=Mechas%20by%20McB%20Val%C3%A8ncia%20183%20Barcelona,https://mechasenbarcelona.com/contacto/
perruqueries,Barcelona,Mechas by McB (Diputació 381),+34 93 017 52 48,+34 665 77 82 03,"C/ Diputació 381, 08013 Barcelona",https://www.google.com/maps/search/?api=1&query=Mechas%20by%20McB%20Diputaci%C3%B3%20381%20Barcelona,https://mechasenbarcelona.com/contacto/
perruqueries,Barcelona,Abbas Peluquería,+34 632 633 629,+34 632 633 629,"C/ Jaume Huguet, 08019 Barcelona",https://www.google.com/maps/search/?api=1&query=Abbas%20Peluquer%C3%ADa%20Jaume%20Huguet%20Barcelona,https://abbaspeluqueria.es/contacta-con-nuestra-peluqueria-en-barcelona/
perruqueries,Barcelona,,+34 611737394,,"Av. de Madrid, 43, 08028 Barcelona",https://www.google.com/maps/search/?api=1&query=Av.%20de%20Madrid%2C%2043%2C%2008028%20Barcelona,https://www.carrerdesants.cat/cat/socis/equipament-i-serveis-personals/perruqueria
perruqueries,Barcelona,,+34 643251628,,"C/ de Juan de Sada, 50, 08028 Barcelona",https://www.google.com/maps/search/?api=1&query=C%2F%20de%20Juan%20de%20Sada%2C%2050%2C%2008028%20Barcelona,https://www.carrerdesants.cat/cat/socis/equipament-i-serveis-personals/perruqueria
perruqueries,Barcelona,,+34 934312055,,"P. de San Antonio, 18, 08014 Barcelona",https://www.google.com/maps/search/?api=1&query=P.%20de%20San%20Antonio%2C%2018%2C%2008014%20Barcelona,https://www.carrerdesants.cat/cat/socis/equipament-i-serveis-personals/perruqueria
perruqueries,Barcelona,,+34 934401427,,"Carrer de Sants, 294, 08028 Barcelona",https://www.google.com/maps/search/?api=1&query=Carrer%20de%20Sants%2C%20294%2C%2008028%20Barcelona,https://www.carrerdesants.cat/cat/socis/equipament-i-serveis-personals/perruqueria
perruqueries,Barcelona,,+34 934913723,,"Rambla del Brasil, 23, 08028 Barcelona",https://www.google.com/maps/search/?api=1&query=Rambla%20del%20Brasil%2C%2023%2C%2008028%20Barcelona,https://www.carrerdesants.cat/cat/socis/equipament-i-serveis-personals/perruqueria
perruqueries,Barcelona,,+34 934214078,,"Carrer de Sugranyes, 1, 08028 Barcelona",https://www.google.com/maps/search/?api=1&query=Carrer%20de%20Sugranyes%2C%201%2C%2008028%20Barcelona,https://www.carrerdesants.cat/cat/socis/equipament-i-serveis-personals/perruqueria
perruqueries,Barcelona,,+34 934091947,,"Carrer de Portbou, 8, 08028 Barcelona",https://www.google.com/maps/search/?api=1&query=Carrer%20de%20Portbou%2C%208%2C%2008028%20Barcelona,https://www.carrerdesants.cat/cat/socis/equipament-i-serveis-personals/perruqueria
perruqueries,Barcelona,,+34 931997599,,"Carrer de Carreras i Candi, 64, 08028 Barcelona",https://www.google.com/maps/search/?api=1&query=Carrer%20de%20Carreras%20i%20Candi%2C%2064%2C%2008028%20Barcelona,https://www.carrerdesants.cat/cat/socis/equipament-i-serveis-personals/perruqueria
perruqueries,Barcelona,,+34 633779158,,"Carrer de Carreras i Candi, 11, Tda. 1ª, 08028 Barcelona",https://www.google.com/maps/search/?api=1&query=Carrer%20de%20Carreras%20i%20Candi%2C%2011%2C%20Tda.%201%C2%AA%2C%2008028%20Barcelona,https://www.carrerdesants.cat/cat/socis/equipament-i-serveis-personals/perruqueria
perruqueries,Barcelona,,+34 931725428,,"Rambla del Brasil, 57, LOCAL 1, 08028 Barcelona",https://www.google.com/maps/search/?api=1&query=Rambla%20del%20Brasil%2C%2057%2C%20LOCAL%201%2C%2008028%20Barcelona,https://www.carrerdesants.cat/cat/socis/equipament-i-serveis-personals/perruqueria
perruqueries,Barcelona,,+34 931881390,,"Carrer de Melcior de Palau, 62, 08028 Barcelona",https://www.google.com/maps/search/?api=1&query=Carrer%20de%20Melcior%20de%20Palau%2C%2062%2C%2008028%20Barcelona,https://www.carrerdesants.cat/cat/socis/equipament-i-serveis-personals/perruqueria
perruqueries,Barcelona,,+34 635514902,,"Carrer de Bassegoda, 39, 08028 Barcelona",https://www.google.com/maps/search/?api=1&query=Carrer%20de%20Bassegoda%2C%2039%2C%2008028%20Barcelona,https://www.carrerdesants.cat/cat/socis/equipament-i-serveis-personals/perruqueria
perruqueries,Barcelona,,+34 936638493,,"Carrer de Sants, 250, 08028 Barcelona",https://www.google.com/maps/search/?api=1&query=Carrer%20de%20Sants%2C%20250%2C%2008028%20Barcelona,https://www.carrerdesants.cat/cat/socis/equipament-i-serveis-personals/perruqueria
perruqueries,Barcelona,,+34 936638495,,"Carrer de Sants, 21, 08014 Barcelona",https://www.google.com/maps/search/?api=1&query=Carrer%20de%20Sants%2C%2021%2C%2008014%20Barcelona,https://www.carrerdesants.cat/cat/socis/equipament-i-serveis-personals/perruqueria
perruqueries,Barcelona,,+34 605914461,,"C. del Tenor Masini, 93, 08028 Barcelona",https://www.google.com/maps/search/?api=1&query=C.%20del%20Tenor%20Masini%2C%2093%2C%2008028%20Barcelona,https://www.carrerdesants.cat/cat/socis/equipament-i-serveis-personals/perruqueria
perruqueries,Barcelona,,+34 934229463,,"P. de San Antonio, 14, 08014 Barcelona",https://www.google.com/maps/search/?api=1&query=P.%20de%20San%20Antonio%2C%2014%2C%2008014%20Barcelona,https://www.carrerdesants.cat/cat/socis/equipament-i-serveis-personals/perruqueria
perruqueries,Barcelona,,+34 624654117,,"Carrer de Sant Medir, 28, local 3, 08028 Barcelona",https://www.google.com/maps/search/?api=1&query=Carrer%20de%20Sant%20Medir%2C%2028%2C%20local%203%2C%2008028%20Barcelona,https://www.carrerdesants.cat/cat/socis/equipament-i-serveis-personals/perruqueria
perruqueries,Barcelona,,+34 658502014,,"Carrer de Portbou, 22, 08028 Barcelona",https://www.google.com/maps/search/?api=1&query=Carrer%20de%20Portbou%2C%2022%2C%2008028%20Barcelona,https://www.carrerdesants.cat/cat/socis/equipament-i-serveis-personals/perruqueria
perruqueries,Barcelona,,+34 933394347,,"Av. de Madrid, 66, 08028 Barcelona",https://www.google.com/maps/search/?api=1&query=Av.%20de%20Madrid%2C%2066%2C%2008028%20Barcelona,https://www.carrerdesants.cat/cat/socis/equipament-i-serveis-personals/perruqueria
perruqueries,Barcelona,,+34 934400596,,"Carrer de Bassegoda, 6, 08028 Barcelona",https://www.google.com/maps/search/?api=1&query=Carrer%20de%20Bassegoda%2C%206%2C%2008028%20Barcelona,https://www.carrerdesants.cat/cat/socis/equipament-i-serveis-personals/perruqueria
perruqueries,Barcelona,,+34 692481876,,"C. del Tenor Masini, 102, 08028 Barcelona",https://www.google.com/maps/search/?api=1&query=C.%20del%20Tenor%20Masini%2C%20102%2C%2008028%20Barcelona,https://www.carrerdesants.cat/cat/socis/equipament-i-serveis-personals/perruqueria
perruqueries,Barcelona,,+34 934216111,,"Carrer de Gayarre, 18, 08014 Barcelona",https://www.google.com/maps/search/?api=1&query=Carrer%20de%20Gayarre%2C%2018%2C%2008014%20Barcelona,https://www.carrerdesants.cat/cat/socis/equipament-i-serveis-personals/perruqueria
perruqueries,Barcelona,,+34 617372221,,"Carrer d'Arizala, 1, 08028 Barcelona",https://www.google.com/maps/search/?api=1&query=Carrer%20d'Arizala%2C%201%2C%2008028%20Barcelona,https://www.carrerdesants.cat/cat/socis/equipament-i-serveis-personals/perruqueria
perruqueries,Barcelona,,+34 936395398,,"Rambla de Badal, 162, Bajos, 08028 Barcelona",https://www.google.com/maps/search/?api=1&query=Rambla%20de%20Badal%2C%20162%2C%20Bajos%2C%2008028%20Barcelona,https://www.carrerdesants.cat/cat/socis/equipament-i-serveis-personals/perruqueria
perruqueries,Barcelona,,+34 620211023,,"Carrer d'Olzinelles, 22, 08014 Barcelona",https://www.google.com/maps/search/?api=1&query=Carrer%20d'Olzinelles%2C%2022%2C%2008014%20Barcelona,https://www.carrerdesants.cat/cat/socis/equipament-i-serveis-personals/perruqueria
perruqueries,Barcelona,,+34 633014603,,"Carrer de Begur, 38, 08028 Barcelona",https://www.google.com/maps/search/?api=1&query=Carrer%20de%20Begur%2C%2038%2C%2008028%20Barcelona,https://www.carrerdesants.cat/cat/socis/equipament-i-serveis-personals/perruqueria
perruqueries,Barcelona,,+34 933391019,,"Riera d'Escuder, 54, 08028 Barcelona",https://www.google.com/maps/search/?api=1&query=Riera%20d'Escuder%2C%2054%2C%2008028%20Barcelona,https://www.carrerdesants.cat/cat/socis/equipament-i-serveis-personals/perruqueria
perruqueries,Barcelona,,+34 687180789,,"Carrer de Begur, 33, 08028 Barcelona",https://www.google.com/maps/search/?api=1&query=Carrer%20de%20Begur%2C%2033%2C%2008028%20Barcelona,https://www.carrerdesants.cat/cat/socis/equipament-i-serveis-personals/perruqueria
perruqueries,Barcelona,,+34 934498022,,"Carrer de Sants, 431, 08028 Barcelona",https://www.google.com/maps/search/?api=1&query=Carrer%20de%20Sants%2C%20431%2C%2008028%20Barcelona,https://www.carrerdesants.cat/cat/socis/equipament-i-serveis-personals/perruqueria
perruqueries,Barcelona,,+34 933394231,,"Av. de Madrid, 58, 08028 Barcelona",https://www.google.com/maps/search/?api=1&query=Av.%20de%20Madrid%2C%2058%2C%2008028%20Barcelona,https://www.carrerdesants.cat/cat/socis/equipament-i-serveis-personals/perruqueria
perruqueries,Barcelona,,+34 934323341,,"Carrer de la Constitució, 13, 08014 Barcelona",https://www.google.com/maps/search/?api=1&query=Carrer%20de%20la%20Constituci%C3%B3%2C%2013%2C%2008014%20Barcelona,https://www.carrerdesants.cat/cat/socis/equipament-i-serveis-personals/perruqueria
perruqueries,Barcelona,,+34 630282928,,"Rambla del Brasil, 34, 08028 Barcelona",https://www.google.com/maps/search/?api=1&query=Rambla%20del%20Brasil%2C%2034%2C%2008028%20Barcelona,https://www.carrerdesants.cat/cat/socis/equipament-i-serveis-personals/perruqueria
perruqueries,Barcelona,,+34 632972183,,"Rambla de Badal, 131, 08028 Barcelona",https://www.google.com/maps/search/?api=1&query=Rambla%20de%20Badal%2C%20131%2C%2008028%20Barcelona,https://www.carrerdesants.cat/cat/socis/equipament-i-serveis-personals/perruqueria
perruqueries,Barcelona,,+34 933308685,,"Carrer de Portbou, 39, 08028 Barcelona",https://www.google.com/maps/search/?api=1&query=Carrer%20de%20Portbou%2C%2039%2C%2008028%20Barcelona,https://www.carrerdesants.cat/cat/socis/equipament-i-serveis-personals/perruqueria
perruqueries,Barcelona,,+34 933395775,,"C. del Tenor Masini, 43, 08028 Barcelona",https://www.google.com/maps/search/?api=1&query=C.%20del%20Tenor%20Masini%2C%2043%2C%2008028%20Barcelona,https://www.carrerdesants.cat/cat/socis/equipament-i-serveis-personals/perruqueria
